timestamp,model,fusion,scoring,gdelt,risk_level,tranche,r2,mae,smape,n,notes
2026-07-05T15:58:21,GCN,concat,topk,True,node,sum,10M,0.178,81100784.65,81.23,87,
2026-07-05T15:58:21,GCN,concat,topk,True,node,sum,100M,-0.9519,212442758.96,86.42,22,
2026-07-05T15:58:29,GAT,concat,topk,True,node,sum,all,-0.0844,33136628.77,183.64,948,
2026-07-05T15:58:29,GAT,concat,topk,True,node,sum,1M,0.0725,58805121.71,139.08,224,
2026-07-05T15:58:29,GAT,concat,topk,True,node,sum,10M,-0.0211,96234466.54,104.01,87,
2026-07-05T15:58:29,GAT,concat,topk,True,node,sum,100M,-1.3146,231275258.55,109.02,22,
2026-07-05T15:58:30,RF,none,none,False,node,first,all,0.3031,12753212.95,140.79,936,
2026-07-05T15:58:30,RF,none,none,False,node,first,1M,0.4004,37105481.38,87.3,208,
2026-07-05T15:58:30,RF,none,none,False,node,first,10M,0.3392,72948786.15,79.72,82,
2026-07-05T15:58:30,RF,none,none,False,node,first,100M,-0.1904,170250562.26,92.72,20,
2026-07-05T15:58:31,GCN,none,none,False,node,first,all,0.0239,26907556.2,183.32,948,
2026-07-05T15:58:31,GCN,none,none,False,node,first,1M,0.0858,48041070.74,140.96,224,
2026-07-05T15:58:31,GCN,none,none,False,node,first,10M,-0.1034,90480529.31,111.66,87,
2026-07-05T15:58:31,GCN,none,none,False,node,first,100M,-1.7212,264385469.26,131.32,22,
2026-07-05T15:58:39,GAT,none,none,False,node,first,all,0.1261,21394040.54,177.9,948,
2026-07-05T15:58:39,GAT,none,none,False,node,first,1M,0.1288,42483986.8,121.74,224,
2026-07-05T15:58:39,GAT,none,none,False,node,first,10M,-0.0569,83384620.11,93.75,87,
2026-07-05T15:58:39,GAT,none,none,False,node,first,100M,-1.6295,254683363.34,121.35,22,
2026-07-05T15:58:40,RF,concat,keepall,True,node,first,all,0.4534,10527308.24,139.97,936,
2026-07-05T15:58:40,RF,concat,keepall,True,node,first,1M,0.4885,30585942.28,80.03,208,
2026-07-05T15:58:40,RF,concat,keepall,True,node,first,10M,0.3909,63400776.19,72.7,82,
2026-07-05T15:58:40,RF,concat,keepall,True,node,first,100M,-0.2234,142228056.25,58.88,20,
2026-07-05T15:58:41,GCN,concat,keepall,True,node,first,all,-0.1329,30567093.08,185.17,948,
2026-07-05T15:58:41,GCN,concat,keepall,True,node,first,1M,-0.0058,53565220.1,150.54,224,
2026-07-05T15:58:41,GCN,concat,keepall,True,node,first,10M,-0.1807,97214029.06,132.04,87,
2026-07-05T15:58:41,GCN,concat,keepall,True,node,first,100M,-1.8268,260184643.02,135.15,22,
2026-07-05T15:58:48,GAT,concat,keepall,True,node,first,all,-0.0015,24436132.81,181.41,948,
2026-07-05T15:58:48,GAT,concat,keepall,True,node,first,1M,0.049,48286055.49,136.47,224,
2026-07-05T15:58:48,GAT,concat,keepall,True,node,first,10M,-0.131,92181244.08,117.81,87,
2026-07-05T15:58:48,GAT,concat,keepall,True,node,first,100M,-1.7617,266420783.1,138.39,22,
2026-07-05T15:58:50,RF,concat,topk,True,node,first,all,0.4163,11307127.41,142.54,936,
2026-07-05T15:58:50,RF,concat,topk,True,node,first,1M,0.4372,32289674.99,84.44,208,
2026-07-05T15:58:50,RF,concat,topk,True,node,first,10M,0.3259,67654037.02,77.01,82,
2026-07-05T15:58:50,RF,concat,topk,True,node,first,100M,-0.4365,163234541.94,75.49,20,
2026-07-05T15:58:51,GCN,concat,topk,True,node,first,all,-0.1209,31233897.62,185.63,948,
2026-07-05T15:58:51,GCN,concat,topk,True,node,first,1M,0.032,52467606.32,149.48,224,
2026-07-05T15:58:51,GCN,concat,topk,True,node,first,10M,-0.141,97337082.97,130.22,87,
2026-07-05T15:58:51,GCN,concat,topk,True,node,first,100M,-1.7508,266717314.7,135.85,22,
2026-07-05T15:58:59,GAT,concat,topk,True,node,first,all,-0.0338,27295818.6,180.42,948,
2026-07-05T15:58:59,GAT,concat,topk,True,node,first,1M,0.0224,47963710.17,126.43,224,
2026-07-05T15:58:59,GAT,concat,topk,True,node,first,10M,-0.1751,87955036.33,90.14,87,
2026-07-05T15:58:59,GAT,concat,topk,True,node,first,100M,-1.9312,274953210.39,140.85,22,
