timestamp,model,fusion,scoring,gdelt,risk_level,agg_mode,tranche,r2,mae,smape,n,notes
2026-07-05T16:05:01,RF,concat,topk,True,node,first,100M,-0.4365,163234541.94,75.49,20,
2026-07-05T16:05:02,GCN,concat,topk,True,node,first,all,-0.3216,39675576.43,182.86,948,
2026-07-05T16:05:02,GCN,concat,topk,True,node,first,1M,-0.0011,59528853.63,135.15,224,
2026-07-05T16:05:02,GCN,concat,topk,True,node,first,10M,-0.1138,92872952.84,90.58,87,
2026-07-05T16:05:02,GCN,concat,topk,True,node,first,100M,-1.6788,256894480.52,126.99,22,
2026-07-05T16:05:10,GAT,concat,topk,True,node,first,all,0.1296,23696860.71,183.58,948,
2026-07-05T16:05:10,GAT,concat,topk,True,node,first,1M,0.1523,46730493.63,142.04,224,
2026-07-05T16:05:10,GAT,concat,topk,True,node,first,10M,-0.0157,88243801.9,112.86,87,
2026-07-05T16:05:10,GAT,concat,topk,True,node,first,100M,-1.4819,250520217.01,122.23,22,
2026-07-05T18:12:28,RF,none,none,False,node,sum,all,-0.6756,22225190.8,154.51,953,
2026-07-05T18:12:28,RF,none,none,False,node,sum,1M,-0.3122,61479656.23,116.78,208,
2026-07-05T18:12:28,RF,none,none,False,node,sum,10M,-0.198,95382331.64,79.16,82,
2026-07-05T18:12:28,RF,none,none,False,node,sum,100M,-0.7003,183196040.29,56.34,20,
2026-07-05T18:12:28,GCN,none,none,False,node,sum,all,0.0178,31112972.67,183.61,948,
2026-07-05T18:12:28,GCN,none,none,False,node,sum,1M,0.1521,52753065.5,139.13,224,
2026-07-05T18:12:28,GCN,none,none,False,node,sum,10M,0.0496,82688375.87,101.75,87,
2026-07-05T18:12:28,GCN,none,none,False,node,sum,100M,-1.3353,235273481.75,104.57,22,
2026-07-05T18:12:36,GAT,none,none,False,node,sum,all,0.1675,24621015.06,179.93,948,
2026-07-05T18:12:36,GAT,none,none,False,node,sum,1M,0.2239,47534900.82,124.96,224,
2026-07-05T18:12:36,GAT,none,none,False,node,sum,10M,0.1168,76892217.89,79.64,87,
2026-07-05T18:12:36,GAT,none,none,False,node,sum,100M,-1.1879,228468282.43,100.18,22,
2026-07-05T18:12:38,RF,concat,keepall,True,node,sum,all,-0.1557,19197377.18,152.37,953,
2026-07-05T18:12:38,RF,concat,keepall,True,node,sum,1M,0.1137,55192125.76,116.88,208,
2026-07-05T18:12:38,RF,concat,keepall,True,node,sum,10M,0.3314,75600793.61,80.99,82,
2026-07-05T18:12:38,RF,concat,keepall,True,node,sum,100M,0.0911,120521292.85,37.23,20,
2026-07-05T18:12:39,GCN,concat,keepall,True,node,sum,all,-0.1956,35156648.97,181.6,948,
2026-07-05T18:12:39,GCN,concat,keepall,True,node,sum,1M,0.042,57342331.45,133.28,224,
2026-07-05T18:12:39,GCN,concat,keepall,True,node,sum,10M,-0.0266,91416520.18,93.82,87,
2026-07-05T18:12:39,GCN,concat,keepall,True,node,sum,100M,-1.2921,227838123.68,108.43,22,
2026-07-05T18:12:47,GAT,concat,keepall,True,node,sum,all,0.1588,25128578.74,182.29,948,
2026-07-05T18:12:47,GAT,concat,keepall,True,node,sum,1M,0.2096,48432378.49,138.39,224,
2026-07-05T18:12:47,GAT,concat,keepall,True,node,sum,10M,0.0837,84664971.46,105.11,87,
2026-07-05T18:12:47,GAT,concat,keepall,True,node,sum,100M,-1.2114,229748493.23,104.96,22,
2026-07-05T18:12:50,RF,concat,topk,True,node,sum,all,-0.215,18840423.11,154.48,953,
2026-07-05T18:12:50,RF,concat,topk,True,node,sum,1M,0.0924,53071949.22,115.61,208,
2026-07-05T18:12:50,RF,concat,topk,True,node,sum,10M,0.2873,76149115.68,80.91,82,
2026-07-05T18:12:50,RF,concat,topk,True,node,sum,100M,-0.0505,135361068.56,48.92,20,
2026-07-05T18:12:51,GCN,concat,topk,True,node,sum,all,-0.8232,53088750.85,187.65,948,
2026-07-05T18:12:51,GCN,concat,topk,True,node,sum,1M,-0.2134,82824701.19,152.45,224,
2026-07-05T18:12:51,GCN,concat,topk,True,node,sum,10M,-0.0784,103934185.55,111.86,87,
2026-07-05T18:12:51,GCN,concat,topk,True,node,sum,100M,-1.3112,224838489.78,103.87,22,
2026-07-05T18:12:59,GAT,concat,topk,True,node,sum,all,0.0227,28431960.47,181.15,948,
2026-07-05T18:12:59,GAT,concat,topk,True,node,sum,1M,0.1541,56106346.01,132.95,224,
2026-07-05T18:12:59,GAT,concat,topk,True,node,sum,10M,0.0886,87644464.06,95.56,87,
2026-07-05T18:12:59,GAT,concat,topk,True,node,sum,100M,-1.1287,227812976.11,102.14,22,
2026-07-05T18:13:00,RF,none,none,False,node,first,all,0.3031,12753212.95,140.79,936,
2026-07-05T18:13:00,RF,none,none,False,node,first,1M,0.4004,37105481.38,87.3,208,
2026-07-05T18:13:00,RF,none,none,False,node,first,10M,0.3392,72948786.15,79.72,82,
2026-07-05T18:13:00,RF,none,none,False,node,first,100M,-0.1904,170250562.26,92.72,20,
2026-07-05T18:13:01,GCN,none,none,False,node,first,all,-0.1676,35034378.43,182.5,948,
2026-07-05T18:13:01,GCN,none,none,False,node,first,1M,0.0738,50251009.61,135.23,224,
2026-07-05T18:13:01,GCN,none,none,False,node,first,10M,-0.0867,86216132.75,99.51,87,
2026-07-05T18:13:01,GCN,none,none,False,node,first,100M,-1.6879,258622798.57,130.91,22,
2026-07-05T18:13:08,GAT,none,none,False,node,first,all,0.108,22307805.64,179.89,948,
2026-07-05T18:13:08,GAT,none,none,False,node,first,1M,0.1135,44715552.92,127.13,224,
2026-07-05T18:13:08,GAT,none,none,False,node,first,10M,-0.0713,84306898.77,95.21,87,
2026-07-05T18:13:08,GAT,none,none,False,node,first,100M,-1.6751,259341788.77,126.9,22,
2026-07-05T18:13:10,RF,concat,keepall,True,node,first,all,0.4534,10527308.24,139.97,936,
2026-07-05T18:13:10,RF,concat,keepall,True,node,first,1M,0.4885,30585942.28,80.03,208,
2026-07-05T18:13:10,RF,concat,keepall,True,node,first,10M,0.3909,63400776.19,72.7,82,
2026-07-05T18:13:10,RF,concat,keepall,True,node,first,100M,-0.2234,142228056.25,58.88,20,
2026-07-05T18:13:11,GCN,concat,keepall,True,node,first,all,-0.101,30362621.2,182.73,948,
2026-07-05T18:13:11,GCN,concat,keepall,True,node,first,1M,0.0506,48947593.06,137.15,224,
2026-07-05T18:13:11,GCN,concat,keepall,True,node,first,10M,-0.1148,85857698.47,101.36,87,
2026-07-05T18:13:11,GCN,concat,keepall,True,node,first,100M,-1.7221,249803440.04,125.26,22,
2026-07-05T18:13:19,GAT,concat,keepall,True,node,first,all,0.1209,23439921.65,182.34,948,
2026-07-05T18:13:19,GAT,concat,keepall,True,node,first,1M,0.1417,47183860.4,139.04,224,
2026-07-05T18:13:19,GAT,concat,keepall,True,node,first,10M,-0.0277,89434943.93,111.46,87,
2026-07-05T18:13:19,GAT,concat,keepall,True,node,first,100M,-1.5062,253766787.6,125.22,22,
2026-07-05T18:13:21,RF,concat,topk,True,node,first,all,0.4163,11307127.41,142.54,936,
2026-07-05T18:13:21,RF,concat,topk,True,node,first,1M,0.4372,32289674.99,84.44,208,
2026-07-05T18:13:21,RF,concat,topk,True,node,first,10M,0.3259,67654037.02,77.01,82,
2026-07-05T18:13:21,RF,concat,topk,True,node,first,100M,-0.4365,163234541.94,75.49,20,
2026-07-05T18:13:22,GCN,concat,topk,True,node,first,all,-0.2009,37267135.01,184.64,948,
2026-07-05T18:13:22,GCN,concat,topk,True,node,first,1M,0.1052,58642483.35,143.85,224,
2026-07-05T18:13:22,GCN,concat,topk,True,node,first,10M,0.0397,93453652.36,106.25,87,
2026-07-05T18:13:22,GCN,concat,topk,True,node,first,100M,-1.1856,228685585.92,104.01,22,
2026-07-05T18:13:30,GAT,concat,topk,True,node,first,all,0.2188,22881432.78,180.49,948,
