feature,importance_log_r2,importance_spearman,model,dataset
gdpcap_o,0.286450053954597,0.29201995650450047,GAT_first_none,chips
pop_o,0.17708717851059044,0.1307958143205258,GAT_first_none,chips
dist,0.12046482667652099,0.11332815202683245,GAT_first_none,chips
pop_d,0.043393025131532426,0.04860378466368483,GAT_first_none,chips
gdpcap_d,0.03375095273529786,0.023355588889116485,GAT_first_none,chips
cmdCode,0.025577881202335617,0.002936833227085489,GAT_first_none,chips
refYear,0.0,0.0,GAT_first_none,chips
gdpcap_o,0.1224883301651785,0.1332113347349875,GAT_first_keepall,chips
score_mean,0.10005444394764511,0.07808278562223736,GAT_first_keepall,chips
dist,0.08697535473383951,0.08690343722768851,GAT_first_keepall,chips
pop_o,0.07202421384884672,0.03540383379778361,GAT_first_keepall,chips
active_months,0.06665900226489625,0.044817376317340805,GAT_first_keepall,chips
tone_mean,0.05466430383621409,0.050617741852086985,GAT_first_keepall,chips
goldstein_wmean,0.04672992669295628,0.04223653561390439,GAT_first_keepall,chips
cmdCode,0.014006177316817489,0.004695779125465964,GAT_first_keepall,chips
gdpcap_d,0.012165830764583033,0.009076147558666555,GAT_first_keepall,chips
events_total,0.011291824780875833,0.013112083359472337,GAT_first_keepall,chips
pop_d,0.01125222405665068,0.011244282084508487,GAT_first_keepall,chips
score_max,0.0032241356526058196,0.007628003428771272,GAT_first_keepall,chips
refYear,0.0,0.0,GAT_first_keepall,chips
score_vol,-0.0022177923747601636,-0.002278434134963425,GAT_first_keepall,chips
tone_mean,0.16542900284806827,0.13460225572181173,GAT_first_topk,chips
gdpcap_o,0.11629446855278396,0.12454649893934577,GAT_first_topk,chips
events_total,0.1121226818381413,0.1003970931179392,GAT_first_topk,chips
pop_o,0.08837726274547471,0.044196575438947984,GAT_first_topk,chips
goldstein_wmean,0.06566781770860024,0.020699262661276085,GAT_first_topk,chips
score_mean,0.0638054220416238,0.053800668583230314,GAT_first_topk,chips
dist,0.05725381466891366,0.0660977008152721,GAT_first_topk,chips
active_months,0.05260280984411928,0.04734150143828223,GAT_first_topk,chips
pop_d,0.010795697435537025,0.010940761529958784,GAT_first_topk,chips
score_vol,0.01075884669524448,0.0009992881865746501,GAT_first_topk,chips
cmdCode,0.010617026215317349,0.0031396038640532087,GAT_first_topk,chips
score_max,0.0045682667647808,0.003754388456226776,GAT_first_topk,chips
refYear,0.0,0.0,GAT_first_topk,chips
gdpcap_d,-0.0019889600537337238,-0.000751134038166216,GAT_first_topk,chips
node:gdpcap_o,0.24852729291010742,0.21755293079393256,EdgeGAT_full_attention_ka_ka,chips
node:pop_o,0.14579147269174061,0.10302480376355723,EdgeGAT_full_attention_ka_ka,chips
node:goldstein_wmean,0.13347101235900674,0.09152798240199372,EdgeGAT_full_attention_ka_ka,chips
node:score_mean,0.09963129485842633,0.05953106960768084,EdgeGAT_full_attention_ka_ka,chips
node:tone_mean,0.051812336515438186,0.03920656276274037,EdgeGAT_full_attention_ka_ka,chips
node:cmdCode,0.03755874495792888,0.019549064733060357,EdgeGAT_full_attention_ka_ka,chips
