model,n_features_kept,n_features_original,original_log_r2,pruned_log_r2,delta_log_r2,original_spearman,pruned_spearman,delta_spearman
EdgeGAT_full_attention_ka_tk,11,18,0.287,0.2809999698560771,-0.006000030143922863,0.576,0.5736853980103926,-0.0023146019896073122
EdgeGAT_full_blend_tk_ka,8,18,0.321,0.3141211225347119,-0.006878877465288091,0.587,0.5810088786147688,-0.0059911213852311684
EdgeGAT_full_blend_tk_tk,9,18,0.338,0.31894998087075355,-0.019050019129246476,0.588,0.5894678562527012,0.001467856252701183
EdgeGAT_full_attention_ka_ka,10,18,0.272,0.06908314138586513,-0.2029168586141349,0.602,0.2638778225450826,-0.3381221774549174
