timestamp,model,fusion,scoring,gdelt,risk_level,agg_mode,missing,tranche,mae,rmse,r2,log_r2,spearman,smape,n,notes
2026-07-14T20:43:49,GAT,none,none,False,node,first,median,100M,380255053.82,628431600.07,-0.578,-73.9671,-0.0843,198.53,258,
2026-07-14T20:46:55,GATv2,none,none,False,node,first,median,all,1738639.99,29061962.21,-0.0018,0.153,0.4539,125.57,123777,
2026-07-14T20:46:55,GATv2,none,none,False,node,first,median,1M,11420960.48,77570417.73,-0.0218,-7.6294,0.1248,158.0,17372,
2026-07-14T20:46:55,GATv2,none,none,False,node,first,median,10M,58736097.15,195774442.65,-0.0992,-25.1903,0.003,189.1,2723,
2026-07-14T20:46:55,GATv2,none,none,False,node,first,median,100M,380432010.42,628546871.99,-0.5786,-80.1196,-0.1138,198.82,258,
2026-07-14T20:51:36,RF,concat,keepall,True,node,first,median,all,1608645.44,74713425.26,0.1132,0.4908,0.7096,104.52,140371,
2026-07-14T20:51:36,RF,concat,keepall,True,node,first,median,1M,11609001.79,206990993.78,0.1104,-4.4102,0.3595,123.52,18288,
2026-07-14T20:51:36,RF,concat,keepall,True,node,first,median,10M,67464786.49,545470623.81,0.0986,-11.3642,0.2637,150.55,2633,
2026-07-14T20:51:36,RF,concat,keepall,True,node,first,median,100M,522686759.87,1793490677.16,0.0287,-23.0205,0.2048,169.03,243,
2026-07-14T21:42:06,TabTF,concat,keepall,True,node,first,median,all,1793498.09,79350152.83,-0.0003,0.2479,0.5008,121.78,140371,
2026-07-14T21:42:06,TabTF,concat,keepall,True,node,first,median,1M,12866481.93,219837145.37,-0.0035,-9.8332,0.1286,154.92,18288,
2026-07-14T21:42:06,TabTF,concat,keepall,True,node,first,median,10M,74135003.13,579318561.21,-0.0168,-27.3086,-0.036,188.58,2633,
2026-07-14T21:42:06,TabTF,concat,keepall,True,node,first,median,100M,561382578.65,1904511252.24,-0.0952,-70.5648,-0.1424,198.89,243,
2026-07-14T21:44:16,GCN,concat,keepall,True,node,first,median,all,1758234.77,29056910.42,-0.0015,0.0051,0.3525,129.2,123777,
2026-07-14T21:44:16,GCN,concat,keepall,True,node,first,median,1M,11326336.59,77555884.11,-0.0214,-6.6113,0.1204,150.69,17372,
2026-07-14T21:44:16,GCN,concat,keepall,True,node,first,median,10M,58574195.51,195745058.54,-0.0988,-23.3296,-0.0044,186.06,2723,
2026-07-14T21:44:16,GCN,concat,keepall,True,node,first,median,100M,380353114.13,628506350.8,-0.5784,-77.162,-0.0948,198.66,258,
2026-07-14T21:47:03,GAT,concat,keepall,True,node,first,median,all,2315115.4,29167735.37,-0.0091,-0.1805,0.3762,135.97,123777,
2026-07-14T21:47:03,GAT,concat,keepall,True,node,first,median,1M,12427942.37,77504686.26,-0.0201,-4.5021,0.1396,135.5,17372,
2026-07-14T21:47:03,GAT,concat,keepall,True,node,first,median,10M,55852159.56,194975518.5,-0.0902,-15.911,0.0148,156.36,2723,
2026-07-14T21:47:03,GAT,concat,keepall,True,node,first,median,100M,376937265.75,626931882.45,-0.5705,-56.0282,-0.102,192.21,258,
