model,metric,point,ci_lo,ci_hi,n_boot
EdgeGAT_full_attention_ka_ka_shrinkage,log_r2,0.2797199994668641,0.23844054115604432,0.31979029502625195,2000
EdgeGAT_full_attention_ka_ka_shrinkage,spearman,0.5667064921606249,0.5336286300430334,0.6003936326445568,2000
RF_gravity_baseline,log_r2,0.6261303492385755,0.5883213496130861,0.6622305730315342,2000
RF_gravity_baseline,spearman,0.798910440679177,0.7742260768400195,0.8205115000580303,2000
GAT_first_none,log_r2,0.32376461646043475,0.27941144889763464,0.36525271450318686,2000
GAT_first_none,spearman,0.6006860153753667,0.5660149116216807,0.6342426418864655,2000
GAT_first_keepall_concat,log_r2,0.3427710826886694,0.2983673636689926,0.3864102285811935,2000
GAT_first_keepall_concat,spearman,0.6061659494511451,0.5750999308360168,0.6383203550675624,2000
