model,condition,n_epochs,convergence_epoch,regression_frac,loss_volatility,final_log_r2,final_log_mse
GAT_first_topk_blend,old (chips-only),100,5.0,0.6565656565656566,0.16745208725979419,0.0243739056831006,11.741909067382135
GAT_first_topk_blend,"old (pooled, classical)",100,,0.494949494949495,0.018608997209818057,-0.0008594285278793,8.878676824253114
EdgeGAT_full_attention_ka_ka,old (chips-only),100,72.0,0.48484848484848486,0.1304446762234065,0.3125471481492837,8.273670539937108
EdgeGAT_full_attention_ka_ka,"old (pooled, classical)",100,13.0,0.47474747474747475,0.04902771503709712,0.2081336537489518,7.024688158961905
