epoch,mse,rmse,mae,smape,r2,log_mse,log_rmse,log_mae,log_r2,spearman,overflow_frac,n_finite,n_total,train_loss
1,3397450159769640.0,58287650.147948496,10407388.252890483,174.3626659386543,-0.0326642790145506,34.738267111635764,5.89391780665762,5.018187710001499,-1.8863756030618402,0.1184834200656848,0.0,948,948,0.34546658396720886
2,3.232403859156839e+20,17978887226.84705,1692381690.747128,174.38426887246246,-98248.80040108599,42.31364634749412,6.504894030458461,5.371310154093972,-2.5158079734231955,0.1367436028097707,0.0,948,948,0.08881843835115433
3,1.219866590000997e+19,3492658858.235366,328757669.8973833,169.00329842323634,-3706.8179028908294,33.69238910477258,5.804514545142649,4.742201458552719,-1.7994744127092082,0.1359568224738445,0.0,948,948,0.06597231328487396
4,3473851177410379.5,58939385.62124973,11004002.496550817,141.0155683337225,-0.055886577528946324,14.837678922888513,3.8519707842724498,2.9812287454363666,-0.23285120445012408,0.12322637419961745,0.0,948,948,0.05380553379654884
5,3397182104174759.5,58285350.68243786,10369286.197177898,157.79965145561044,-0.03258280278249259,21.037730644651305,4.586690598312829,3.7360298990700316,-0.7480086810711566,0.1245162772336736,0.0,948,948,0.0359148308634758
6,3396997004594251.5,58283762.786853865,10358830.396350186,148.91062215659645,-0.03252654125815457,15.998580703981517,3.999822584063138,3.1996223212294437,-0.3293096307651062,0.18381633436100744,0.0,948,948,0.05568912252783775
7,3393031101353815.0,58249730.48310022,10422449.913681075,141.05045387570198,-0.03132109410872386,11.993657681038497,3.463186059257934,2.7621185704122615,0.0034563091251832434,0.26068230458713765,0.0,948,948,0.040560994297266006
8,3404581697203836.0,58348793.45114032,11681991.533941103,155.99019154283567,-0.03483192934536472,17.445727213509013,4.176808256732527,3.426057768773429,-0.4495519089919655,0.2895714537252186,0.0,948,948,0.029511243104934692
9,3387391284536355.0,58201299.68081774,11019460.078106211,153.0773466431543,-0.02960685634401994,15.239652339775585,3.9037997310025503,3.1949509975779407,-0.26625086309900414,0.291833997001896,0.0,948,948,0.04278293251991272
10,3394092238904812.0,58258838.290038124,10366696.759158714,139.4812265949818,-0.03164362977297319,12.003785427288127,3.4646479514213455,2.7449292236239597,0.0026148025642775963,0.28975105150478664,0.0,948,948,0.037846922874450684
11,3396737845934901.0,58281539.49523726,10350500.46279265,144.31272970956235,-0.032447769274012384,15.280628814446981,3.9090444886758426,3.0774381487681395,-0.2696555665175977,0.2893416711061399,0.0,948,948,0.02871815301477909
12,3396973029107296.5,58283557.10753503,10353193.749505103,148.71934857913521,-0.03251925384324439,17.477252537902864,4.180580406821864,3.3163303906404518,-0.45217132368287705,0.2989669778930745,0.0,948,948,0.03338630497455597
13,3396588709429632.0,58280260.03227536,10349140.749378696,143.35209745511997,-0.03240243882486804,14.968550380524439,3.8689210873994884,3.0377614367360306,-0.24372521210409115,0.31059718311073237,0.0,948,948,0.03720329701900482
14,3394228052362060.5,58260003.88226953,10346475.246598775,137.8405944479924,-0.031684910645190634,12.150213878535403,3.48571569100743,2.7351368791443385,-0.009551823592290232,0.32134855607737484,0.0,948,948,0.032461732625961304
15,3385260271517757.5,58182989.53747356,10461831.013572361,144.6420460338456,-0.028959129101843173,12.48992948832604,3.534109433552679,2.84508353748402,-0.03777852945898941,0.3316883936410357,0.0,948,948,0.028234371915459633
16,3375458890001713.0,58098699.5551683,10593770.152234096,147.99193239174895,-0.02597997235174132,13.206388584536406,3.6340595185737405,2.9474437085888052,-0.09730855866993582,0.34173065750154114,0.0,948,948,0.030823005363345146
17,3381478303595862.5,58150479.82257638,10430260.243537106,142.99946306824458,-0.027809589596137885,11.881083806819568,3.446894806462705,2.7676301500465295,0.012809984800583707,0.3512134935047112,0.0,948,948,0.03305220603942871
18,3390756448233367.0,58230202.19983241,10336814.09020279,136.20230792989813,-0.030629707064272038,10.99401365908728,3.315722192688537,2.609892517705507,0.08651595362138631,0.35997883982933093,0.0,948,948,0.029810171574354172
19,3394180196127601.0,58259593.16822939,10334596.33111297,137.42153606981697,-0.03167036461168582,11.66220004512519,3.4149963462828463,2.6824481552663233,0.030996866363522613,0.36791236856568693,0.0,948,948,0.027320120483636856
20,3394550089483397.5,58262767.60919788,10336299.155624807,138.9008720459832,-0.031782794710028206,12.027007953127795,3.4679976864363384,2.73173941238017,0.0006852609492719042,0.3722483512781871,0.0,948,948,0.028706729412078857
21,3392193873562207.0,58242543.50182697,10328867.849188263,136.54087545645396,-0.03106661642895414,11.122123667851636,3.334984807739255,2.620581215946986,0.07587139260695341,0.37702341130870287,0.0,948,948,0.029956046491861343
22,3380673697006384.5,58143561.09670601,10329297.42775979,134.76129001205516,-0.027565027220079363,10.385876839551159,3.2227126523398204,2.5295855400431506,0.1370455690910286,0.38572095817915475,0.0,948,948,0.028397593647241592
23,3338331447380426.0,57778295.64274483,10428577.730382575,138.7601449746347,-0.014694984504041608,11.364821631130887,3.3711751113122093,2.6645619592586147,0.05570580755140553,0.3908321354866155,0.0,948,948,0.026483481749892235
24,3286422443984584.0,57327327.200773835,10635050.01440513,141.61641413464196,0.00108289921619098,12.482244005839922,3.533021936790079,2.801657728505034,-0.03713994869517623,0.39453510336046976,0.0,948,948,0.027173016220331192
25,3305709328495557.0,57495298.316432424,10476823.734587314,138.78910422168772,-0.004779402142576217,11.609537162805895,3.4072770892320885,2.6872457326213017,0.03537258430664403,0.40118710033560734,0.0,948,948,0.028374550864100456
26,3352307066498902.0,57899111.10283907,10328249.09757677,134.64627951423992,-0.01894291220336708,10.344546164630165,3.216293855453846,2.520074373056114,0.14047970273294774,0.4100482105456699,0.0,948,948,0.027107154950499535
27,3374058166782956.5,58086643.61781421,10306431.310709488,133.45394848584183,-0.025554218693917496,10.144508696807796,3.185044536079173,2.488504581310578,0.15710066039227077,0.41850306869977427,0.0,948,948,0.02589886263012886
28,3377101126299553.0,58112830.995396815,10304027.170765802,133.63929802427202,-0.026479134571267382,10.234912052093671,3.199204909363211,2.499271634761794,0.14958911589600887,0.42507794319681813,0.0,948,948,0.02658259868621826
29,3364642755351102.5,58005540.72975359,10292411.01976545,132.84197777560897,-0.02269237860777462,10.000688413279912,3.16238650599194,2.4671409597879723,0.169050575921053,0.4322225713266644,0.0,948,948,0.027121862396597862
30,3319664108077391.0,57616526.34511552,10304879.78223925,134.13963133596357,-0.009020995607675886,10.116257668433729,3.180606493804873,2.4904563592959055,0.15944801637287465,0.43882712438320215,0.0,948,948,0.026193834841251373
31,3233447264239128.0,56863408.83414508,10529878.524924885,137.1093581641604,0.017184850157309972,10.922274494771493,3.3048864571678545,2.6006321077105365,0.09247670500255623,0.4446620169372917,0.0,948,948,0.02534979023039341
32,3191322882001530.0,56491794.82014649,10695844.659109607,138.1828383152046,0.02998867148408746,11.213054535583078,3.348589932431721,2.640417639716265,0.0683160175117642,0.4492934733778158,0.0,948,948,0.025841549038887024
33,3238634816952202.5,56909004.70885256,10470496.566498948,135.67296784479305,0.015608079305530875,10.46370540429324,3.234765123512562,2.5397604764262334,0.1305788541633398,0.45298750293267204,0.0,948,948,0.026099160313606262
34,3305663620472806.5,57494900.82148857,10287992.56851053,133.37212820211633,-0.0047655090639027176,9.835344523843569,3.13613528468457,2.4527691295881313,0.18278887112877673,0.4555198583860732,0.0,948,948,0.02524149976670742
35,3335584340561476.0,57754517.92337528,10256266.264218356,132.4078805494829,-0.013859993864249853,9.794317896603317,3.129587496237055,2.438570643779095,0.18619774168531955,0.45700220558355414,0.0,948,948,0.024908777326345444
36,3331351469638994.0,57717860.923972175,10254764.542547338,132.49770906463857,-0.012573401156846353,9.783883185877107,3.1279199455671987,2.437661909352878,0.1870647536858996,0.4594149794238636,0.0,948,948,0.02536289393901825
37,3291438245236283.5,57371057.55724121,10311133.348287256,133.39339005438276,-0.00044166730861050496,9.793277036805447,3.1294211983696676,2.446919314468963,0.186284225916589,0.46282263284710845,0.0,948,948,0.025232452899217606
38,3220809137878139.0,56752172.979350656,10552543.859971838,135.454150787156,0.021026243270652945,10.216095674984984,3.1962627668865062,2.5104954162227453,0.1511525540390225,0.466542930918857,0.0,948,948,0.024581942707300186
39,3187720187074642.0,56459898.929015465,10827350.752882566,136.8143127626788,0.031083720472072196,10.576098440394697,3.2520913948403565,2.5606808134272128,0.12124020418650672,0.4696026145245009,0.0,948,948,0.024580342695116997
40,3220090522556751.0,56745841.45606399,10698235.147244385,135.7624970371118,0.021244668365312913,10.24985351118378,3.20153924092518,2.516418863952411,0.14834764167816028,0.47190458170401023,0.0,948,948,0.024838771671056747
41,3278609469759292.5,57259143.11059233,10445583.493204627,133.80675507835295,0.003457674125579735,9.78196499528501,3.127613306546225,2.4482278074393293,0.18722413465068,0.4736494168804756,0.0,948,948,0.02441512420773506
42,3312999531564778.5,57558661.65543444,10366468.42056616,133.15599405306017,-0.006995279327616899,9.653631581252107,3.107029382103122,2.428066196823925,0.19788725823516462,0.47644997882109624,0.0,948,948,0.024098698049783707
43,3314787745699377.5,57574193.40033673,10406631.329875002,133.1364398335956,-0.007538811910345222,9.621289879660138,3.1018204138312293,2.424397676805907,0.20057450507268149,0.48038667876605345,0.0,948,948,0.0243002288043499
44,3299036233994254.5,57437237.34646588,10653225.738468139,133.83867858965607,-0.0027510967965307387,9.715177318258627,3.1169179197179107,2.4411257792122756,0.19277347080307417,0.485584114296754,0.0,948,948,0.02415412850677967
45,3323009559265174.5,57645551.07955144,11237631.16288151,135.59537274730008,-0.010037854656770984,10.096584913017896,3.177512378106165,2.4978863644700513,0.16108261032353977,0.49139470852348005,0.0,948,948,0.023729419335722923
46,3400141337676187.0,58310730.89643267,11651511.0067687,136.05597265310817,-0.03348226990827219,10.198568831758337,3.1935198185948894,2.5125756480019805,0.1526088458144732,0.49680005096514823,0.0,948,948,0.023727569729089737
47,3391072508646282.5,58232916.023897365,11336285.877175432,134.25785283930546,-0.03072577449221936,9.774404361544907,3.1264043822808505,2.4508438386997593,0.1878523418292647,0.5019180876654917,0.0,948,948,0.023676807060837746
48,3380160457432419.0,58139147.37448786,11029209.81943193,132.9481778365928,-0.027409026646211698,9.482258557814118,3.0793276145636272,2.40794832595793,0.21212650949904432,0.5057450514093185,0.0,948,948,0.023365680128335953
49,3444757633696102.0,58692057.67134172,11387318.27846376,133.31383406543753,-0.04704351525258321,9.544798660644119,3.089465756509387,2.4179905381383775,0.20693010098386455,0.5098093895848808,0.0,948,948,0.023441132158041
50,3737673417879195.0,61136514.60362453,12405426.05476007,134.82273718347687,-0.13607606992173693,9.892210414909972,3.145188454593774,2.468538367295567,0.17806392845696872,0.5131906477262724,0.0,948,948,0.023203440010547638
51,4029230654933311.5,63476221.177172415,13032373.136754276,135.34784824103207,-0.22469569047104265,10.00304925228638,3.1627597525399205,2.4850373514593906,0.1688544156437103,0.516292811678805,0.0,948,948,0.02309148758649826
52,3793200327075502.0,61588962.70498069,12436314.304725856,133.71661222112755,-0.15295362601662865,9.63898146864295,3.104670911488519,2.431586378737341,0.1991045247004516,0.5182379918334349,0.0,948,948,0.023067351430654526
53,3624523388420952.5,60204014.72012438,11915917.387980534,132.63555931320593,-0.1016838086386771,9.409349199367707,3.0674662507300234,2.3976936868474454,0.21818449140062635,0.5204493784059014,0.0,948,948,0.02282259427011013
54,3734717543264669.0,61112335.44272931,12228823.68244796,132.8727735218666,-0.13517762373882847,9.435122766880703,3.0716644945177043,2.4025398291616,0.2160429857165832,0.522918041508961,0.0,948,948,0.02283012494444847
55,4178335231263809.5,64640043.558647215,13209720.92764236,133.99177010597495,-0.270016434727242,9.655831901551297,3.107383449391352,2.4357117283696366,0.1977044353323959,0.525153541593985,0.0,948,948,0.022657960653305054
56,4323523178781646.0,65753503.16737235,13470740.096163638,134.27657230218202,-0.31414670893125707,9.700291174133618,3.1145290453186685,2.4429149964690713,0.19401034894348368,0.5278173523118131,0.0,948,948,0.02254180796444416
57,3851123624551483.0,62057421.99408128,12525569.584214834,133.04845805062223,-0.17055957089095597,9.424957899224875,3.0700094298267024,2.4030884836293476,0.21688757666626546,0.5294751844701316,0.0,948,948,0.02248345874249935
58,3625070006994601.5,60208554.26760056,11903036.115111185,132.33876327127345,-0.10184995485089732,9.273714114398059,3.0452773460553737,2.3817583397973943,0.22945430514572474,0.5314101107479263,0.0,948,948,0.022287826985120773
59,3725283064770476.5,61035096.99157098,12240782.800689405,133.08602436456323,-0.1323099881668781,9.386796899767655,3.063787998502451,2.3994332904051126,0.22005834443852668,0.5326329278155099,0.0,948,948,0.022301731631159782
60,3741375594657511.0,61166785.06066435,12331602.476897294,133.86275459731127,-0.13720135669086608,9.519387292058296,3.085350432618359,2.420175914019975,0.20904151184068198,0.5340926826799639,0.0,948,948,0.022051505744457245
61,3500275005068973.0,59163122.00238399,11526059.317098694,132.78733286647113,-0.06391817229992491,9.272276327444821,3.0450412685947,2.384531498961308,0.2295737697456972,0.5340923728100596,0.0,948,948,0.02203557826578617
62,3411439203392954.0,58407526.941250935,11019043.307286758,131.87791155242306,-0.03691628712888062,9.09882469244047,3.0164258141781755,2.358312285399135,0.24398573122837153,0.5342309377171136,0.0,948,948,0.021810587495565414
63,3406400113986055.0,58364373.67081099,11043023.77233704,132.11817352186816,-0.035384642105538155,9.12377711402524,3.0205590730898213,2.3624585741179907,0.24191245392101068,0.5376431720441229,0.0,948,948,0.021763550117611885
64,3406822409315172.0,58367991.30786644,11152166.467110531,133.03739096847073,-0.03551299992715906,9.301809809504228,3.049886851918318,2.3891621501133913,0.22711985568556892,0.5410496986677156,0.0,948,948,0.0215358454734087
65,3368696831906750.0,58040475.80703272,10821541.960178828,131.9137996159052,-0.02392462627780123,9.078985594127788,3.0131355087562506,2.355150547711658,0.24563414648099324,0.5444043784223106,0.0,948,948,0.02145364321768284
66,3353719255221171.5,57911305.072681375,10552800.75663138,130.82146024484584,-0.019372150832378532,8.862939318343289,2.977068913939227,2.3223371737113987,0.26358526354600875,0.547302690232761,0.0,948,948,0.021228624507784843
67,3338414807407401.0,57779017.01662465,10589095.268699763,131.77984415393723,-0.01472032201249851,9.045243537075768,3.007531136509773,2.349303183676321,0.2484377477648193,0.549995065321773,0.0,948,948,0.021172937005758286
68,3326444162387540.5,57675334.089951664,10495724.535465466,131.88565561712434,-0.011081811680499376,9.06052282198357,3.0100702353904585,2.3512834753165266,0.24716820386245986,0.5515829232216886,0.0,948,948,0.02096550539135933
69,3334015910237344.0,57740937.90576443,10316804.031757243,129.98983628983027,-0.013383265172528747,8.695175731901164,2.9487583373177877,2.2946651258549107,0.2775246094964724,0.5529568863776217,0.0,948,948,0.02085249125957489
70,3320831147083300.5,57626653.096317336,10302002.130081963,130.51014767013663,-0.009375720309127145,8.802756458489327,2.966943959445363,2.3096701711541994,0.2685858105752178,0.5537524914420621,0.0,948,948,0.02074054256081581
71,3312238849677711.5,57552053.392365694,10275636.140337452,130.8048805861278,-0.006764067985131739,8.861330330724222,2.9767986715134467,2.317630169763847,0.2637189530761852,0.554639465873302,0.0,948,948,0.020523162558674812
72,3328311994628987.0,57691524.46095516,10186151.941448424,128.89551768661133,-0.01164954440481547,8.531899628762904,2.920941565448187,2.264398944528797,0.2910910939485256,0.5557750404778125,0.0,948,948,0.020425468683242798
73,3310807814847089.5,57539619.52296078,10179329.902961023,129.78729464839898,-0.006329101029881601,8.674321886647231,2.9452201762597023,2.2865667262660803,0.27925733928341145,0.5570184075540535,0.0,948,948,0.020328151062130928
74,3315848111164097.5,57583401.351119384,10145637.470567325,129.01144131735907,-0.007861112896856426,8.531015145371525,2.9207901577093014,2.263735889885496,0.2911645849857726,0.558985912426793,0.0,948,948,0.020144714042544365
75,3325221381756910.0,57664732.56468732,10129519.36540696,128.30166439322676,-0.010710144159581825,8.399591264874763,2.898204834871884,2.2437271528606173,0.30208449302570195,0.5617068378019929,0.0,948,948,0.019991688430309296
76,3301060707799183.5,57454857.99999147,10105422.147403954,129.0861863843344,-0.0033664411529856775,8.564921258576154,2.9265886725975268,2.267302993480666,0.2883473524037905,0.5643917478433088,0.0,948,948,0.019920917227864265
77,3332088183004743.0,57724242.59359964,10122703.644517677,127.79220067529538,-0.012797327201645947,8.315897382766321,2.883729769372699,2.2317796724255077,0.3090385526126992,0.5677779498181745,0.0,948,948,0.019889118149876595
78,3294163462869068.0,57394803.44830068,10071616.375088071,128.828364741262,-0.001270004670330227,8.481219796348515,2.912253388074004,2.256164992911906,0.2953020418169977,0.5735010869936976,0.0,948,948,0.019832933321595192
79,3334693071306636.0,57746801.39459359,10125790.092143044,127.83992865814614,-0.013589090133753423,8.28923427214023,2.8791030325676488,2.231301830287724,0.3112539697423321,0.5740981549824749,0.0,948,948,0.01982111856341362
80,3275543117767822.5,57232360.756549455,10029165.080538226,128.77232235512193,0.004389700209721292,8.420973802938702,2.9018914181855084,2.249234241272327,0.3003078345642721,0.5776997869658492,0.0,948,948,0.01978306472301483
81,3325803011458113.5,57669775.54541125,10101189.58464411,127.95459003880825,-0.010886932099890334,8.229819194524783,2.868766144969782,2.226095883152153,0.31619072234234347,0.5772470670355789,0.0,948,948,0.019724423065781593
82,3267911822752582.0,57165652.47377644,10000493.588758463,128.26658391915038,0.006709253225738121,8.241133767096313,2.8707374953304794,2.2256262875810453,0.3152506033051852,0.5808014297735425,0.0,948,948,0.019567744806408882
83,3302249390764106.0,57465201.563764706,10046035.0230751,127.54234937222209,-0.0037277445950445465,8.092114454876343,2.844664207753939,2.2053810453616114,0.3276325020854126,0.5823804704661795,0.0,948,948,0.01937929540872574
84,3272469017436448.0,57205498.1399205,9993897.345249863,127.39979830776306,0.005324081422993454,8.0503334411499,2.83731095249532,2.197498059473963,0.33110405402850884,0.5847631587557748,0.0,948,948,0.019194606691598892
