model,feature_removed,mse,rmse,mae,smape,r2,log_mse,log_rmse,log_mae,log_r2,spearman
EdgeGAT_full_attention_ka_ka,refYear,816437064542403.8,28573362.84973128,1749500.3940494324,117.19904243663723,0.031570920864415264,5.918673648966714,2.4328324333925497,1.860717802596847,0.33281054014712996,0.6075454254238745
EdgeGAT_full_attention_ka_ka,cmdCode,2.4960428616196215e+24,1579886977482.7634,5736029105.122025,120.47781971528681,-2960718705.8559337,6.560230719819956,2.561294735054901,1.966647944725066,0.26049026351858295,0.5467303600517518
EdgeGAT_full_attention_ka_ka,gdpcap_d,842357095192776.6,29023388.761355497,1748117.7839436599,131.88594839215423,0.0008254874390283273,8.12984716873765,2.8512886856187762,2.271577339348522,0.08355340015352786,0.28463457271678394
EdgeGAT_full_attention_ka_ka,gdpcap_o,834550869495693.4,28888594.107289013,1717133.216977429,122.41645996813284,0.010084959224018863,6.560599392928436,2.561366704110998,1.9906535776886753,0.26044870440809675,0.5096384798211946
EdgeGAT_full_attention_ka_ka,pop_o,4.3245513511474554e+17,657613210.8730371,3992520.1457846654,135.35282900271574,-511.9631498312218,9.731747941630436,3.119574961694371,2.464282277899464,-0.09702275166569252,0.16629912116186132
EdgeGAT_full_attention_ka_ka,pop_d,849442941021388.1,29145204.42579513,1757288.6659104712,131.82284820868347,-0.007579494951800658,8.11600966782091,2.8488611176785907,2.269471679451324,0.08511324874628912,0.2873956448081473
EdgeGAT_full_attention_ka_ka,events_total,876001797136916.6,29597327.53369663,1968920.5508273544,124.09484593051397,-0.0390826807916933,7.358110476827853,2.712583727155321,2.0883441732418566,0.17054832792992736,0.5272308470867543
EdgeGAT_full_attention_ka_ka,score_mean,842309484237939.9,29022568.53274603,1748166.3787418192,131.88244231165424,0.0008819618877662361,8.127643841173608,2.850902285448172,2.271534089981337,0.08380177284891854,0.2844368494949812
EdgeGAT_full_attention_ka_ka,score_max,839898684933523.1,28981005.588721782,1749553.5828900726,131.8491464111462,0.0037415676697080125,8.278284577223891,2.877200823234953,2.283606456383157,0.06682061840821485,0.26215913619998205
EdgeGAT_full_attention_ka_ka,score_vol,894341733546389.4,29905546.86920788,1980610.2453245458,125.34383335934652,-0.06083687165315976,7.681470136710795,2.771546524363391,2.1364104126969847,0.1340972293204995,0.5292583391337904
