refYear,reporterCode,partnerCode,cmdCode,primaryValue,data_note
2016,842,156,8541,610614296.0,"Comtrade-estimated (isReported=false, isAggregate=true) -- US did not report 2016 directly"
2016,842,156,8542,5179487407.0,"Comtrade-estimated (isReported=false, isAggregate=true) -- US did not report 2016 directly"
