train_end,test_year,model,n,mae,rmse,r2,log_r2
2017,2018,GAT_first_none,13,3730139527.4471173,11212599780.30349,-0.12443259672156093,-4.4980911588353685
2017,2018,GAT_first_keepall_attention,13,3730588842.5480785,11212781472.82896,-0.12446903834214873,-6.562488891152122
2017,2018,EdgeGAT_full_blend_tk_tk,13,3730624733.7716365,11212797499.21874,-0.12447225274386109,-6.918556280763332
2017,2018,RF_first_keepall,13,3577601837.342606,10939609351.561043,-0.07034654877426627,0.25988334027564
2017,2019,GAT_first_none,13,2622616418.624998,7390892016.37915,-0.14400925432966405,-2.8691174877482766
2017,2019,GAT_first_keepall_attention,13,2624075723.1328106,7391509975.306477,-0.14420056555014305,-6.275038721043457
2017,2019,EdgeGAT_full_blend_tk_tk,13,2624258673.3746977,7391597694.338934,-0.14422772340082401,-9.766155511223587
2017,2019,RF_first_keepall,13,2499773524.07957,7163315356.232695,-0.07464238385113231,0.2605422955771787
2017,2020,GAT_first_none,13,2875911892.7692266,8092014651.751468,-0.14424206923292848,-0.8157880938589328
2017,2020,GAT_first_keepall_attention,13,2884886487.204323,8096189850.492763,-0.14542315225093416,-5.00222262071349
2017,2020,EdgeGAT_full_blend_tk_tk,13,2885138996.191703,8096313851.482671,-0.1454582390498007,-7.809024064392462
2017,2020,RF_first_keepall,13,2763989637.3695474,7869218513.9028845,-0.08210100451489422,0.2821852151469275
2017,2021,GAT_first_none,13,3640989683.4615383,9749399895.781622,-0.15493834392281802,-0.026423649430837193
2017,2021,GAT_first_keepall_attention,13,3693452686.237981,9794896812.872166,-0.1657428532313414,-4.309758480296646
2017,2021,EdgeGAT_full_blend_tk_tk,13,3693844873.6640625,9795098901.329607,-0.16579095697551738,-7.230403702420013
2017,2021,RF_first_keepall,13,3565859260.4615254,9557858166.466387,-0.11000310690018922,0.27436669652234735
2017,2022,GAT_first_none,12,4978747324.499996,9672454291.141409,-0.09485696312410896,-0.6773125280034247
2017,2022,GAT_first_keepall_attention,12,4151630571.528642,10133377410.796574,-0.2016900038498597,-3.6495520506762844
2017,2022,EdgeGAT_full_blend_tk_tk,12,4152032424.389319,10133616654.656445,-0.20174674709291907,-5.214427026949005
2017,2022,RF_first_keepall,12,4017436295.0711293,9855912623.332129,-0.13678334445500573,0.31301289083733586
2017,2024,GAT_first_none,2,5.184705457643888e+21,5.184705457643886e+21,-6.331493317186805e+22,
2017,2024,GAT_first_keepall_attention,2,5.184705457643888e+21,5.184705457643886e+21,-6.331493317186805e+22,
2017,2024,EdgeGAT_full_blend_tk_tk,2,5.184705457643888e+21,5.184705457643886e+21,-6.331493317186805e+22,
2017,2024,RF_first_keepall,2,21539678386.75093,29809959993.242546,-1.0930555789868062,
2017,2025,GAT_first_none,2,5.184705457643462e+21,5.184705457643463e+21,-5.9890338495408915e+22,
2017,2025,GAT_first_keepall_attention,2,5.184705457643462e+21,5.184705457643463e+21,-5.9890338495408915e+22,
2017,2025,EdgeGAT_full_blend_tk_tk,2,5.184705457643462e+21,5.184705457643463e+21,-5.9890338495408915e+22,
2017,2025,RF_first_keepall,2,21964844909.250957,30519019268.115593,-1.0751511533180964,
2018,2019,GAT_first_none,13,2622781909.8846135,7390969639.075966,-0.14403328432485862,-2.9982078862653205
2018,2019,GAT_first_keepall_attention,13,2623625753.5480747,7391365589.5320835,-0.1441558643533103,-4.260976888958246
2018,2019,EdgeGAT_full_blend_tk_tk,13,2624131460.7079306,7391536350.854161,-0.14420873139731705,-6.81496783019627
2018,2019,RF_first_keepall,13,2335907430.628134,6670614649.970563,0.06810382481128885,0.26703769483827944
2018,2020,GAT_first_none,13,2876017769.6923037,8091537719.674173,-0.14410719313882003,-0.8095956674056082
2018,2020,GAT_first_keepall_attention,13,2884499028.4759574,8096068501.279174,-0.14538881630781741,-3.675247256082046
2018,2020,EdgeGAT_full_blend_tk_tk,13,2884922828.450717,8096208383.221368,-0.14542839615976222,-5.186350354889535
2018,2020,RF_first_keepall,13,2572027212.783137,7552469307.042377,0.0032585291324190857,0.41359042479752195
2018,2021,GAT_first_none,13,3644872362.3846154,9742671557.70291,-0.15334478241326677,0.02932464023579595
