train_end,test_year,model,n,mae,rmse,r2,log_r2,spearman
2017,2018,HS4Edge_GAT_none,5385,130834510.0,2026046312.3292315,-0.003094125811938353,-0.8938256546016345,0.46348432650971
2017,2018,HS4Edge_GAT_topk_concat,5385,127867370.0,2026920937.0843325,-0.0039602773281786074,0.2030303190856495,0.5041999870504527
2017,2018,HS4Edge_EdgeGAT_attention_ka_tk,5385,140291260.0,2268480215.923903,-0.25751430700711087,0.3033465137837167,0.5319612115121795
2017,2018,HS4Edge_EdgeGAT_blend_tk_ka,5385,127853080.0,2025258718.5243945,-0.002314236677244619,0.23027729716638545,0.54312731698724
2018,2019,HS4Edge_GAT_none,5933,119936344.0,1896485945.105934,-0.004008795035235657,0.04794982788189661,0.36134142707440153
2018,2019,HS4Edge_GAT_topk_concat,5933,119972570.0,1896465073.537382,-0.003986750162355612,0.00032006971319398225,0.5476644544719526
2018,2019,HS4Edge_EdgeGAT_attention_ka_tk,5933,118367800.0,1894691383.0251026,-0.0021095718460681923,0.3148062924149876,0.6042259099664862
2018,2019,HS4Edge_EdgeGAT_blend_tk_ka,5933,144105390.0,2103142609.2173717,-0.234740333354426,0.4349065194182594,0.6582125498053913
2019,2020,HS4Edge_GAT_none,6170,130467400.0,2148079789.2556224,-0.003697035483477995,0.04497700912287539,0.41241770411476136
2019,2020,HS4Edge_GAT_topk_concat,6170,130446820.0,2148053044.5134206,-0.0036719971222616277,0.08712260120369586,0.4749003195199823
2019,2020,HS4Edge_EdgeGAT_attention_ka_tk,6170,127944330.0,2093411276.7984216,0.046740883616957274,0.44536623892308735,0.6489874788185314
2019,2020,HS4Edge_EdgeGAT_blend_tk_ka,6170,128776330.0,2140776469.8250015,0.003116271338119536,0.41570682646161694,0.6365323103627072
2020,2021,HS4Edge_GAT_none,6523,159912180.0,2792663820.753473,-0.0030499584972585314,0.23425371444473364,0.5207904853811489
2020,2021,HS4Edge_GAT_topk_concat,6523,160052910.0,2792948067.9983816,-0.0032541970504913476,0.27089317091882925,0.5491935344146212
2020,2021,HS4Edge_EdgeGAT_attention_ka_tk,6523,150675220.0,2757856745.4829135,0.021797651954986952,0.5624163374184231,0.7239830724486813
2020,2021,HS4Edge_EdgeGAT_blend_tk_ka,6523,158900220.0,2787369250.441542,0.0007497211124775083,0.4077503619377284,0.6289224100187606
2021,2022,HS4Edge_GAT_none,5900,181614580.0,2851274817.525455,-0.002896785720068795,0.26921266265802424,0.5360496658980883
2021,2022,HS4Edge_GAT_topk_concat,5900,183316260.0,2845504135.807211,0.0011587758753893729,0.29211223405104136,0.5732302713067013
2021,2022,HS4Edge_EdgeGAT_attention_ka_tk,5900,181138830.0,2654891311.741475,0.13049606758044296,0.5704472618014929,0.7274763791559617
2021,2022,HS4Edge_EdgeGAT_blend_tk_ka,5900,173461860.0,2805114152.6753254,0.029313068592570324,0.502646195833298,0.6818665345567478
2022,2023,HS4Edge_GAT_none,5085,133613280.0,2491305140.2418647,-0.0028696459719519396,0.039031124803928674,0.31683649909790434
2022,2023,HS4Edge_GAT_topk_concat,5085,133593300.0,2491298299.4685874,-0.002864140509352575,0.15207737496258356,0.5681001468662826
2022,2023,HS4Edge_EdgeGAT_attention_ka_tk,5085,396602600.0,10251559841.322931,-15.981284003117153,0.5038736804047526,0.6938286805957793
2022,2023,HS4Edge_EdgeGAT_blend_tk_ka,5085,521165300.0,12599370869.331152,-24.65005725572992,0.486245894370398,0.6752586937269609
2017,2018,HS4Edge_GAT_none,5385,5186593300.0,45792263943.53215,-511.42125524455696,-6.112825740965184,0.5045340681116554
2017,2018,HS4Edge_GAT_topk_concat,5385,127916890.0,2026953958.7103379,-0.003992993500907538,0.020748663873655926,0.3085571545114044
2017,2018,HS4Edge_EdgeGAT_attention_ka_tk,5385,127886696.0,2019694772.3480709,0.003185343594348855,0.3285863117987545,0.5338024525325247
2017,2018,HS4Edge_EdgeGAT_blend_tk_ka,5385,126339920.0,2023301231.1625695,-0.0003776291009969235,0.30804940242840173,0.5588675312931182
2018,2019,HS4Edge_GAT_none,5933,119939736.0,1896486814.7496388,-0.004009668689109125,0.020778766538528615,0.21580847846623422
